model,attribute,gold,token_count
qwen2.5-7b,temperature,376,3
qwen2.5-7b,temperature,377,3
qwen2.5-7b,temperature,378,3
qwen2.5-7b,temperature,379,3
qwen2.5-7b,temperature,380,3
qwen2.5-7b,temperature,381,3
qwen2.5-7b,temperature,382,3
qwen2.5-7b,temperature,383,3
qwen2.5-7b,temperature,384,3
qwen2.5-7b,temperature,385,3
qwen2.5-7b,temperature,386,3
qwen2.5-7b,temperature,387,3
qwen2.5-7b,temperature,388,3
qwen2.5-7b,temperature,389,3
qwen2.5-7b,temperature,390,3
qwen2.5-7b,temperature,391,3
qwen2.5-7b,temperature,392,3
qwen2.5-7b,temperature,393,3
qwen2.5-7b,temperature,394,3
qwen2.5-7b,temperature,395,3
qwen2.5-7b,temperature,396,3
qwen2.5-7b,temperature,397,3
qwen2.5-7b,temperature,398,3
qwen2.5-7b,temperature,399,3
qwen2.5-7b,temperature,400,3
qwen2.5-7b,temperature,401,3
qwen2.5-7b,temperature,402,3
qwen2.5-7b,temperature,403,3
qwen2.5-7b,temperature,404,3
qwen2.5-7b,temperature,405,3
qwen2.5-7b,temperature,406,3
qwen2.5-7b,temperature,407,3
qwen2.5-7b,temperature,408,3
qwen2.5-7b,temperature,409,3
qwen2.5-7b,temperature,410,3
qwen2.5-7b,temperature,411,3
qwen2.5-7b,temperature,412,3
qwen2.5-7b,temperature,413,3
qwen2.5-7b,temperature,414,3
qwen2.5-7b,temperature,415,3
qwen2.5-7b,temperature,416,3
qwen2.5-7b,temperature,417,3
qwen2.5-7b,temperature,418,3
qwen2.5-7b,temperature,419,3
qwen2.5-7b,temperature,420,3
qwen2.5-7b,temperature,421,3
qwen2.5-7b,temperature,422,3
qwen2.5-7b,temperature,423,3
qwen2.5-7b,temperature,424,3
qwen2.5-7b,temperature,425,3
qwen2.5-7b,temperature,426,3
qwen2.5-7b,temperature,427,3
qwen2.5-7b,temperature,428,3
qwen2.5-7b,temperature,429,3
qwen2.5-7b,temperature,430,3
qwen2.5-7b,temperature,431,3
qwen2.5-7b,temperature,432,3
qwen2.5-7b,temperature,433,3
qwen2.5-7b,temperature,434,3
qwen2.5-7b,temperature,435,3
qwen2.5-7b,temperature,436,3
qwen2.5-7b,temperature,437,3
qwen2.5-7b,temperature,438,3
qwen2.5-7b,temperature,439,3
qwen2.5-7b,temperature,440,3
qwen2.5-7b,temperature,441,3
qwen2.5-7b,temperature,442,3
qwen2.5-7b,temperature,443,3
qwen2.5-7b,temperature,444,3
qwen2.5-7b,temperature,445,3
qwen2.5-7b,temperature,446,3
qwen2.5-7b,temperature,447,3
qwen2.5-7b,temperature,448,3
qwen2.5-7b,temperature,449,3
qwen2.5-7b,temperature,450,3
qwen2.5-7b,temperature,451,3
qwen2.5-7b,temperature,452,3
qwen2.5-7b,temperature,453,3
qwen2.5-7b,temperature,454,3
qwen2.5-7b,temperature,455,3
qwen2.5-7b,temperature,456,3
qwen2.5-7b,temperature,457,3
qwen2.5-7b,temperature,458,3
qwen2.5-7b,temperature,459,3
qwen2.5-7b,temperature,460,3
qwen2.5-7b,temperature,461,3
qwen2.5-7b,temperature,462,3
qwen2.5-7b,temperature,463,3
qwen2.5-7b,temperature,464,3
qwen2.5-7b,temperature,465,3
qwen2.5-7b,temperature,466,3
qwen2.5-7b,temperature,467,3
qwen2.5-7b,temperature,468,3
qwen2.5-7b,temperature,469,3
qwen2.5-7b,temperature,470,3
qwen2.5-7b,temperature,471,3
qwen2.5-7b,temperature,472,3
qwen2.5-7b,temperature,473,3
qwen2.5-7b,temperature,474,3
qwen2.5-7b,temperature,475,3
qwen2.5-7b,temperature,476,3
qwen2.5-7b,temperature,477,3
qwen2.5-7b,temperature,478,3
qwen2.5-7b,temperature,479,3
qwen2.5-7b,temperature,480,3
qwen2.5-7b,temperature,481,3
qwen2.5-7b,temperature,482,3
qwen2.5-7b,temperature,483,3
qwen2.5-7b,temperature,484,3
qwen2.5-7b,temperature,485,3
qwen2.5-7b,temperature,486,3
qwen2.5-7b,temperature,487,3
qwen2.5-7b,temperature,488,3
qwen2.5-7b,temperature,489,3
qwen2.5-7b,temperature,490,3
qwen2.5-7b,temperature,491,3
qwen2.5-7b,temperature,492,3
qwen2.5-7b,temperature,493,3
qwen2.5-7b,temperature,494,3
qwen2.5-7b,temperature,495,3
qwen2.5-7b,temperature,496,3
qwen2.5-7b,temperature,497,3
qwen2.5-7b,temperature,498,3
qwen2.5-7b,temperature,499,3
qwen2.5-7b,temperature,500,3
qwen2.5-7b,temperature,501,3
qwen2.5-7b,temperature,502,3
qwen2.5-7b,temperature,503,3
qwen2.5-7b,temperature,504,3
qwen2.5-7b,temperature,505,3
qwen2.5-7b,temperature,506,3
qwen2.5-7b,temperature,507,3
qwen2.5-7b,temperature,508,3
qwen2.5-7b,temperature,509,3
qwen2.5-7b,temperature,510,3
qwen2.5-7b,temperature,511,3
qwen2.5-7b,temperature,512,3
qwen2.5-7b,temperature,513,3
qwen2.5-7b,temperature,514,3
qwen2.5-7b,temperature,515,3
qwen2.5-7b,temperature,516,3
qwen2.5-7b,temperature,517,3
qwen2.5-7b,temperature,518,3
qwen2.5-7b,temperature,519,3
qwen2.5-7b,temperature,520,3
qwen2.5-7b,temperature,521,3
qwen2.5-7b,temperature,522,3
qwen2.5-7b,temperature,523,3
qwen2.5-7b,temperature,524,3
qwen2.5-7b,temperature,525,3
qwen2.5-7b,temperature,526,3
qwen2.5-7b,temperature,527,3
qwen2.5-7b,temperature,528,3
qwen2.5-7b,temperature,529,3
qwen2.5-7b,temperature,530,3
qwen2.5-7b,temperature,531,3
qwen2.5-7b,temperature,532,3
qwen2.5-7b,temperature,533,3
qwen2.5-7b,temperature,534,3
qwen2.5-7b,temperature,535,3
qwen2.5-7b,temperature,536,3
qwen2.5-7b,temperature,537,3
qwen2.5-7b,temperature,538,3
qwen2.5-7b,temperature,539,3
qwen2.5-7b,temperature,540,3
qwen2.5-7b,temperature,541,3
qwen2.5-7b,temperature,542,3
qwen2.5-7b,temperature,543,3
qwen2.5-7b,temperature,544,3
qwen2.5-7b,temperature,545,3
qwen2.5-7b,temperature,546,3
qwen2.5-7b,temperature,547,3
qwen2.5-7b,temperature,548,3
qwen2.5-7b,temperature,549,3
qwen2.5-7b,temperature,550,3
qwen2.5-7b,temperature,551,3
qwen2.5-7b,temperature,552,3
qwen2.5-7b,temperature,553,3
qwen2.5-7b,temperature,554,3
qwen2.5-7b,temperature,555,3
qwen2.5-7b,temperature,556,3
qwen2.5-7b,temperature,557,3
qwen2.5-7b,temperature,558,3
qwen2.5-7b,temperature,559,3
qwen2.5-7b,temperature,560,3
qwen2.5-7b,temperature,561,3
qwen2.5-7b,temperature,562,3
qwen2.5-7b,temperature,563,3
qwen2.5-7b,temperature,564,3
qwen2.5-7b,temperature,565,3
qwen2.5-7b,temperature,566,3
qwen2.5-7b,temperature,567,3
qwen2.5-7b,temperature,568,3
qwen2.5-7b,temperature,569,3
qwen2.5-7b,temperature,570,3
qwen2.5-7b,temperature,571,3
qwen2.5-7b,temperature,572,3
qwen2.5-7b,temperature,573,3
qwen2.5-7b,temperature,574,3
qwen2.5-7b,temperature,575,3
qwen2.5-7b,temperature,576,3
qwen2.5-7b,temperature,577,3
qwen2.5-7b,temperature,578,3
qwen2.5-7b,temperature,579,3
qwen2.5-7b,temperature,580,3
qwen2.5-7b,temperature,581,3
qwen2.5-7b,temperature,582,3
qwen2.5-7b,temperature,583,3
qwen2.5-7b,temperature,584,3
qwen2.5-7b,temperature,585,3
qwen2.5-7b,temperature,586,3
qwen2.5-7b,temperature,587,3
qwen2.5-7b,temperature,588,3
qwen2.5-7b,temperature,589,3
qwen2.5-7b,temperature,590,3
qwen2.5-7b,temperature,591,3
qwen2.5-7b,temperature,592,3
qwen2.5-7b,temperature,593,3
qwen2.5-7b,temperature,594,3
qwen2.5-7b,temperature,595,3
qwen2.5-7b,temperature,596,3
qwen2.5-7b,temperature,597,3
qwen2.5-7b,temperature,598,3
qwen2.5-7b,temperature,599,3
qwen2.5-7b,temperature,600,3
qwen2.5-7b,temperature,601,3
qwen2.5-7b,temperature,602,3
qwen2.5-7b,temperature,603,3
qwen2.5-7b,temperature,604,3
qwen2.5-7b,temperature,605,3
qwen2.5-7b,temperature,606,3
qwen2.5-7b,temperature,607,3
qwen2.5-7b,temperature,608,3
qwen2.5-7b,temperature,609,3
qwen2.5-7b,temperature,610,3
qwen2.5-7b,temperature,611,3
qwen2.5-7b,temperature,612,3
qwen2.5-7b,temperature,613,3
qwen2.5-7b,temperature,614,3
qwen2.5-7b,temperature,615,3
qwen2.5-7b,temperature,616,3
qwen2.5-7b,temperature,617,3
qwen2.5-7b,temperature,618,3
qwen2.5-7b,temperature,619,3
qwen2.5-7b,temperature,620,3
qwen2.5-7b,temperature,621,3
qwen2.5-7b,temperature,622,3
qwen2.5-7b,temperature,623,3
qwen2.5-7b,temperature,624,3
qwen2.5-7b,temperature,625,3
qwen2.5-7b,temperature,626,3
qwen2.5-7b,temperature,627,3
qwen2.5-7b,temperature,628,3
qwen2.5-7b,temperature,629,3
qwen2.5-7b,temperature,630,3
qwen2.5-7b,temperature,631,3
qwen2.5-7b,temperature,632,3
qwen2.5-7b,temperature,633,3
qwen2.5-7b,temperature,634,3
qwen2.5-7b,temperature,635,3
qwen2.5-7b,temperature,636,3
qwen2.5-7b,temperature,637,3
qwen2.5-7b,temperature,638,3
qwen2.5-7b,temperature,639,3
qwen2.5-7b,temperature,640,3
qwen2.5-7b,temperature,641,3
qwen2.5-7b,temperature,642,3
qwen2.5-7b,temperature,643,3
qwen2.5-7b,temperature,644,3
qwen2.5-7b,temperature,645,3
qwen2.5-7b,temperature,646,3
qwen2.5-7b,temperature,647,3
qwen2.5-7b,temperature,648,3
qwen2.5-7b,temperature,649,3
qwen2.5-7b,temperature,650,3
qwen2.5-7b,temperature,651,3
qwen2.5-7b,temperature,652,3
qwen2.5-7b,temperature,653,3
qwen2.5-7b,temperature,654,3
qwen2.5-7b,temperature,655,3
qwen2.5-7b,temperature,656,3
qwen2.5-7b,temperature,657,3
qwen2.5-7b,temperature,658,3
qwen2.5-7b,temperature,659,3
qwen2.5-7b,temperature,660,3
qwen2.5-7b,temperature,661,3
qwen2.5-7b,temperature,662,3
qwen2.5-7b,temperature,663,3
qwen2.5-7b,temperature,664,3
qwen2.5-7b,temperature,665,3
qwen2.5-7b,temperature,666,3
qwen2.5-7b,temperature,667,3
qwen2.5-7b,temperature,668,3
qwen2.5-7b,temperature,669,3
qwen2.5-7b,temperature,670,3
qwen2.5-7b,temperature,671,3
qwen2.5-7b,temperature,672,3
qwen2.5-7b,temperature,673,3
qwen2.5-7b,temperature,674,3
qwen2.5-7b,temperature,675,3
qwen2.5-7b,temperature,676,3
qwen2.5-7b,temperature,677,3
qwen2.5-7b,temperature,678,3
qwen2.5-7b,temperature,679,3
qwen2.5-7b,temperature,680,3
qwen2.5-7b,temperature,681,3
qwen2.5-7b,temperature,682,3
qwen2.5-7b,temperature,683,3
qwen2.5-7b,temperature,684,3
qwen2.5-7b,temperature,685,3
qwen2.5-7b,temperature,686,3
qwen2.5-7b,temperature,687,3
qwen2.5-7b,temperature,688,3
qwen2.5-7b,temperature,689,3
qwen2.5-7b,temperature,690,3
qwen2.5-7b,temperature,691,3
qwen2.5-7b,temperature,692,3
qwen2.5-7b,temperature,693,3
qwen2.5-7b,temperature,694,3
qwen2.5-7b,temperature,695,3
qwen2.5-7b,temperature,696,3
qwen2.5-7b,temperature,697,3
qwen2.5-7b,temperature,698,3
qwen2.5-7b,temperature,699,3
qwen2.5-7b,temperature,700,3
qwen2.5-7b,temperature,701,3
qwen2.5-7b,temperature,702,3
qwen2.5-7b,temperature,703,3
qwen2.5-7b,temperature,704,3
qwen2.5-7b,temperature,705,3
qwen2.5-7b,temperature,706,3
qwen2.5-7b,temperature,707,3
qwen2.5-7b,temperature,708,3
qwen2.5-7b,temperature,709,3
qwen2.5-7b,temperature,710,3
qwen2.5-7b,temperature,711,3
qwen2.5-7b,temperature,712,3
qwen2.5-7b,temperature,713,3
qwen2.5-7b,temperature,714,3
qwen2.5-7b,temperature,715,3
qwen2.5-7b,temperature,716,3
qwen2.5-7b,temperature,717,3
qwen2.5-7b,temperature,718,3
qwen2.5-7b,temperature,719,3
qwen2.5-7b,temperature,720,3
qwen2.5-7b,temperature,721,3
qwen2.5-7b,temperature,722,3
qwen2.5-7b,temperature,723,3
qwen2.5-7b,temperature,724,3
qwen2.5-7b,temperature,725,3
qwen2.5-7b,temperature,726,3
qwen2.5-7b,temperature,727,3
qwen2.5-7b,temperature,728,3
qwen2.5-7b,temperature,729,3
qwen2.5-7b,temperature,730,3
qwen2.5-7b,temperature,731,3
qwen2.5-7b,temperature,732,3
qwen2.5-7b,temperature,733,3
qwen2.5-7b,temperature,734,3
qwen2.5-7b,temperature,735,3
qwen2.5-7b,temperature,736,3
qwen2.5-7b,temperature,737,3
qwen2.5-7b,temperature,738,3
qwen2.5-7b,temperature,739,3
qwen2.5-7b,temperature,740,3
qwen2.5-7b,temperature,741,3
qwen2.5-7b,temperature,742,3
qwen2.5-7b,temperature,743,3
qwen2.5-7b,temperature,744,3
qwen2.5-7b,temperature,745,3
qwen2.5-7b,temperature,746,3
qwen2.5-7b,temperature,747,3
qwen2.5-7b,temperature,748,3
qwen2.5-7b,temperature,749,3
qwen2.5-7b,temperature,750,3
qwen2.5-7b,temperature,751,3
qwen2.5-7b,temperature,752,3
qwen2.5-7b,temperature,753,3
qwen2.5-7b,temperature,754,3
qwen2.5-7b,temperature,755,3
qwen2.5-7b,temperature,756,3
qwen2.5-7b,temperature,757,3
qwen2.5-7b,temperature,758,3
qwen2.5-7b,temperature,759,3
qwen2.5-7b,temperature,760,3
qwen2.5-7b,temperature,761,3
qwen2.5-7b,temperature,762,3
qwen2.5-7b,temperature,763,3
qwen2.5-7b,temperature,764,3
qwen2.5-7b,temperature,765,3
qwen2.5-7b,temperature,766,3
qwen2.5-7b,temperature,767,3
qwen2.5-7b,temperature,768,3
qwen2.5-7b,temperature,769,3
qwen2.5-7b,temperature,770,3
qwen2.5-7b,temperature,771,3
qwen2.5-7b,temperature,772,3
qwen2.5-7b,temperature,773,3
qwen2.5-7b,temperature,774,3
qwen2.5-7b,temperature,775,3
qwen2.5-7b,temperature,776,3
qwen2.5-7b,temperature,777,3
qwen2.5-7b,temperature,778,3
qwen2.5-7b,temperature,779,3
qwen2.5-7b,temperature,780,3
qwen2.5-7b,temperature,781,3
qwen2.5-7b,temperature,782,3
qwen2.5-7b,temperature,783,3
qwen2.5-7b,temperature,784,3
qwen2.5-7b,temperature,785,3
